是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,合作日期,合作进度,合作模式,合作车型,合作量级,合作服务,合同签署日期,合同类型,预计视频交付,已上线视频,待补视频交付,视频交付完成率,合同交付平台拆分,合同交付解析状态,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3,合作周期
是,"{""link"":""https://www.tiktok.com/@makspluciennikk"",""text"":""https://www.tiktok.com/@makspluciennikk""}",tiktok,否,Maks Płuciennik,"yozma, yozmasport，in10",EU-Zoe-006,EU,Zoe,2026-03-30,已出视频,已签合同,IN 10,腰部红人(100k-1M),内容红人,2026-04-02,免费,12,1,11,8%,Instagram Reels 3条 / YouTube Shorts 3条 / YouTube Video 3条 / TikTok 3条,已解析,133000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,,
是,"{""link"":""https://www.instagram.com/68v_ebikes/"",""text"":""https://www.instagram.com/68v_ebikes/""}",instagramreels,是,68v_ebikes,"yozma, yozmasport，in10",US-Stefan-149,US,Stefan,2026-02-12,已出视频,已签同意书盖章,IN 10 Pro,尾部红人(10k-100k),已签同意书盖章,,,,34,,,,,48000,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.instagram.com/p/DZD-MzkzSd9/"",""text"":""https://www.instagram.com/p/DZD-MzkzSd9/""}","{""link"":""https://www.instagram.com/p/DZBwGdFzUOp/"",""text"":""https://www.instagram.com/p/DZBwGdFzUOp/""}","{""text"":""https://www.instagram.com/p/DY1HvFczy0t/"",""link"":""https://www.instagram.com/p/DY1HvFczy0t/""}",
是,"{""link"":""https://www.instagram.com/proktorr/"",""text"":""https://www.instagram.com/proktorr/""}",instagramreels,是,ProKtorr,"yozma, yozmasport，in10",EU-Ryan-003,EU,Ryan,2026-04-03,跟进视频,已签合同,IN 10,腰部红人(100k-1M),内容红人,2026-04-02,免费,3,3,0,100%,Instagram Reels 1条 / YouTube Shorts 1条 / YouTube Video 1条,已解析,933000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""text"":""https://www.instagram.com/p/DYwbe8RtYEV/"",""link"":""https://www.instagram.com/p/DYwbe8RtYEV/""}",,,
否,"{""link"":""https://www.tiktok.com/@starlineworld.co"",""text"":""https://www.tiktok.com/@starlineworld.co""}",tiktok,否,Cxltxn_Vxlts,"yozma, yozmasport，in10",US-Stefan-078,US,Stefan,2026-05-12,已出视频,不签合同,IN 10,赛事/活动,不签合同,,,,1,,,,,36600,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.tiktok.com/search?q=oneway_umbe&t=1780294933229"",""text"":""https://www.tiktok.com/search?q=oneway_umbe&t=1780294933229""}",tiktok,否,oneway_umbe,"yozma, yozmasport，in10",EU-Zoe-035,EU,Zoe,2026-05-13,已发货,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-05-14,免费,,0,,,待人工确认,待人工确认,18000,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@DarioZockt/shorts"",""text"":""https://www.youtube.com/@DarioZockt/shorts""}",youtubeshort,否,DarioZockt,"yozma, yozmasport，in10",EU-Zoe-004,EU,Zoe,2026-03-27,已出视频,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-04-02,免费,4,5,0,100%,Instagram Reels 2条 / YouTube Video 2条,已解析,71600,营销总表,2026-06-22,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.instagram.com/kuggokid/?g=5"",""text"":""https://www.instagram.com/kuggokid/?g=5""}",instagramreels,是,kuggokid,"yozma, yozmasport，in10",US-Vivi-015,US,Vivi,2025-11-01,已出视频,已签合同盖章,IN 10,微型红人/KOC(1k-10k),已签合同盖章,,,,2,,,,,6200,营销总表,2026-06-22,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DYdPOVbNJ-E/"",""link"":""https://www.instagram.com/p/DYdPOVbNJ-E/""}",,,
否,"{""link"":""https://www.instagram.com/rittersyard/"",""text"":""https://www.instagram.com/rittersyard/""}",instagram,否,rittersyard,"yozma, yozmasport，in10",US-Stefan-075,US,Stefan,2025-11-01,已出视频,不签合同，以brief为准,IN 10,尾部红人(10k-100k),不签合同，以brief为准,,,,0,,,,,13000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@DriftEight/shorts"",""text"":""https://www.youtube.com/@DriftEight/shorts""}",youtube,否,drifteight,"yozma, yozmasport，in10",US-Stefan-056,US,Stefan,2026-06-17,已签合同,已签合同,IN10 Pro,尾部红人(10k-100k),已签合同,,,15,0,15,0%,YouTube Shorts 5条 / Instagram Reels 5条 / TikTok 5条,已解析,15000,营销总表,2026-06-22,,,,,,,,3个月
是,"{""link"":""https://www.youtube.com/@gio_biker_900/videos"",""text"":""https://www.youtube.com/@gio_biker_900/videos""}",youtubevideo,否,Gio_biker_900,"yozma, yozmasport，in10",EU-Zoe-012,EU,Zoe,2026-04-07,已出视频,已签合同,IN 10,腰部红人(100k-1M),内容红人,2026-04-09,免费,6,4,2,67%,Instagram Reels 3条 / TikTok 3条,已解析,150000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,,
否,"{""link"":""https://www.youtube.com/@BabyDBlocks/videos"",""text"":""https://www.youtube.com/@BabyDBlocks/videos""}",youtubevideo,否,babydblocks,"yozma, yozmasport，in10",US-Vivi-002,US,Vivi,2025-11-01,已出视频,已签合同盖章,IN 10 Pro,头部红人(>1M),已签合同盖章,,,,0,,,,,2000000,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.youtube.com/@raiguzman23/videos"",""text"":""https://www.youtube.com/@raiguzman23/videos""}",youtubevideo,否,raimundoguzman,"yozma, yozmasport，in10",CA-Ryan-005,CA,Ryan,2026-05-08,已发货,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-05-08,免费,,0,,,待人工确认,待人工确认,1000,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
否,"{""link"":""https://www.tiktok.com/@hayden_anderson14"",""text"":""https://www.tiktok.com/@hayden_anderson14""}",tiktok,否,hayden_anderson14,"yozma, yozmasport，in10",US-Lexy-024,US,Lexy,2026-01-04,已出视频,已签合同盖章,IN 10 Pro,腰部红人(100k-1M),已签合同盖章,,,,0,,,,,357800,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@DerekHallman/videos"",""text"":""https://www.youtube.com/@DerekHallman/videos""}",youtubevideo,否,Derek Hallman,"yozma, yozmasport，in10",US-Stefan-031,US,Stefan,2026-05-15,已发货,已签合同,IN 10 Pro,腰部红人(100k-1M),内容红人 / 内容红人,2026-05-14,免费 / 免费,2,0,2,0%,YouTube Video 1条 / TikTok 1条,已解析,755000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@teamtalentless/shorts"",""text"":""https://www.youtube.com/@teamtalentless/shorts""}",youtubeshort,是,teamtalentless,"yozma, yozmasport，in10",US-Ryan-007,US,Ryan,2026-03-10,已出视频,已签合同盖章,IN 10,尾部红人(10k-100k),已签合同盖章,,,,4,,,,,25300,营销总表,2026-06-22,,,,,"{""link"":""https://www.youtube.com/shorts/YlVv16ITP1w"",""text"":""https://www.youtube.com/shorts/YlVv16ITP1w""}","{""link"":""https://www.youtube.com/shorts/2QYYVwpwQgw"",""text"":""https://www.youtube.com/shorts/2QYYVwpwQgw""}","{""link"":""https://www.youtube.com/shorts/A-PyVjukUxs"",""text"":""https://www.youtube.com/shorts/A-PyVjukUxs""}",
否,"{""link"":""https://www.tiktok.com/@wheelieweasel"",""text"":""https://www.tiktok.com/@wheelieweasel""}",tiktok,否,WheelieWeasel,"yozma, yozmasport，in10",US-Lexy-003,US,Lexy,2025-11-01,已出视频,不签合同，以brief为准,IN 10,尾部红人(10k-100k),不签合同，以brief为准,,,,0,,,,,15700,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.instagram.com/brysonfitted"",""text"":""https://www.instagram.com/brysonfitted""}",instagramreels,否,brysonfitted,"yozma, yozmasport，in10",US-Ryan-032,US,Ryan,2026-04-10,跟进视频,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-04-09,免费,4,0,4,0%,Instagram Reels 4条,已解析,45000,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.instagram.com/oneway.rell/"",""text"":""https://www.instagram.com/oneway.rell/""}",instagramreels,是,oneway.rell,"yozma, yozmasport，in10",US-Vivi-017,US,Vivi,2026-05-26,,已签合同,IN 10,微型红人/KOC(1k-10k),内容红人,2026-05-29,免费,5,1,4,20%,TikTok 5条,已解析,7200,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DZvpz0ivzqZ/"",""link"":""https://www.instagram.com/p/DZvpz0ivzqZ/""}",,,
否,"{""link"":""https://www.tiktok.com/@onewayben_"",""text"":""https://www.tiktok.com/@onewayben_""}",tiktok,否,onewaybenn,"yozma, yozmasport，in10",US-Vivi-004,US,Vivi,2025-09-01,已出视频,已签合同盖章,IN 10,腰部红人(100k-1M),已签合同盖章,,,,0,,,,,149000,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.instagram.com/r7jae/"",""text"":""https://www.instagram.com/r7jae/""}",instagramreels,否,jaecR7y,"yozma, yozmasport，in10",US-Lexy-052,US,Lexy,2026-03-25,未出视频,已签同意书盖章,IN 10,尾部红人(10k-100k),已签同意书盖章,,,,0,,,,,15000,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
否,"{""link"":""https://www.tiktok.com/@silohms"",""text"":""https://www.tiktok.com/@silohms""}",tiktok,否,silohms,"yozma, yozmasport，in10",US-Stefan-115,US,Stefan,2026-01-22,已出图片视频,已签同意书盖章,IN 10,微型红人/KOC(1k-10k),已签同意书盖章,,,,1,,,,,1000,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@jensdransfield"",""text"":""https://www.tiktok.com/@jensdransfield""}",tiktok,否,jens-dransfield,"yozma, yozmasport，in10",US-Ryan-051,US,Ryan,2026-05-15,已发货,已签合同,IN 10+IN 10 Pro,尾部红人(10k-100k),内容红人,2026-05-14,免费,1,0,1,0%,TikTok 1条,已解析,31000,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.tiktok.com/@ultragraham_"",""text"":""https://www.tiktok.com/@ultragraham_""}",tiktok,否,ultragraham_,"yozma, yozmasport，in10",US-Nancy-025,US,Nancy,2026-04-15,已出视频,已签合同,IN 10 Pro,尾部红人(10k-100k),内容红人,2026-04-15,付费,8,1,7,13%,TikTok 8条,已解析,21000,营销总表,2026-06-22,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@xandarsm/videos"",""text"":""https://www.youtube.com/@xandarsm/videos""}",youtubevideo,否,xandar.sm,"yozma, yozmasport，in10",EU-Ryan-001,EU,Ryan,2026-03-18,已发货,已签合同盖章,IN 10,腰部红人(100k-1M),已签合同盖章,,,,3,,,,,292000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,,
否,"{""link"":""https://www.youtube.com/@SHREDDIEMCSKATE/videos"",""text"":""https://www.youtube.com/@SHREDDIEMCSKATE/videos""}",youtube,否,SHREDDIE MCSKATE,"yozma, yozmasport，in10",US-Stefan-082,US,Stefan,2025-11-01,已出视频,已签合同盖章,IN 10,尾部红人(10k-100k),已签合同盖章,,,,0,,,,,48000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@teamtalentless/shorts"",""text"":""https://www.youtube.com/@teamtalentless/shorts""}",youtube,是,teamtalentless,"yozma, yozmasport，in10",US-Ryan-007,US,Ryan,2026-03-10,已出视频,已签合同盖章,IN 10,尾部红人(10k-100k),已签合同盖章,,,,4,,,,,25300,营销总表,2026-06-22,,,,,"{""link"":""https://www.youtube.com/shorts/2QYYVwpwQgw"",""text"":""https://www.youtube.com/shorts/2QYYVwpwQgw""}","{""link"":""https://www.youtube.com/shorts/A-PyVjukUxs"",""text"":""https://www.youtube.com/shorts/A-PyVjukUxs""}","{""link"":""https://www.youtube.com/shorts/ncj73TyY1UE"",""text"":""https://www.youtube.com/shorts/ncj73TyY1UE""}",
否,"{""link"":""https://www.instagram.com/mar.f1icks/"",""text"":""https://www.instagram.com/mar.f1icks/""}",instagramreels,否,mar.f1icks,"yozma, yozmasport，in10",US-Stefan-135,US,Stefan,2026-02-02,已出图片视频,已签同意书盖章,IN 10 Pro,微型红人/KOC(1k-10k),已签同意书盖章,,,,0,,,,,200,营销总表,2026-06-22,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@thisisthanh/videos"",""text"":""https://www.youtube.com/@thisisthanh/videos""}",youtubevideo,否,thisis.thanh,"yozma, yozmasport，in10",EU-Zoe-029,EU,Zoe,2026-05-11,待发货,已签合同,IN 10,尾部红人(10k-100k),摄影师,2026-05-11,付费,,0,,,待人工确认,待人工确认,25200,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@oneway.elijah"",""text"":""https://www.youtube.com/@oneway.elijah""}",youtubevideo,否,oneway.elijah,"yozma, yozmasport，in10",US-Ryan-009,US,Ryan,2026-03-13,跟进视频,已签合同盖章,IN 10,尾部红人(10k-100k),已签合同盖章,,,,0,,,,,21000,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
否,"{""link"":""https://www.tiktok.com/@soflo.eride"",""text"":""https://www.tiktok.com/@soflo.eride""}",tiktok,否,soflo.eride,"yozma, yozmasport，in10",US-Lexy-014,US,Lexy,2026-02-27,已出视频,,IN 10 Pro,微型红人/KOC(1k-10k),待补充,,,,0,,,,,8100,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.instagram.com/rozaati/"",""text"":""https://www.instagram.com/rozaati/""}",instagramreels,否,Rozaati,"yozma, yozmasport，in10",US-Stefan-156,US,Stefan,2026-03-10,未出视频,已签合同盖章,IN 10 Pro,腰部红人(100k-1M),已签合同盖章,,,,0,,,,,944000,营销总表,2026-06-22,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,,
否,"{""link"":""https://www.youtube.com/@cheehooTV/shorts"",""text"":""https://www.youtube.com/@cheehooTV/shorts""}",youtubeshort,否,Cheehoo TV,"yozma, yozmasport，in10",US-Stefan-108,US,Stefan,2026-05-27,待发货,已签合同,IN10 Pro,,内容红人,2026-06-05,付费,7,0,7,0%,YouTube Shorts 3条 / Instagram Reels 1条 / TikTok 3条,已解析,341000,营销总表,2026-06-22,,,,,,,,3 个月
否,"{""link"":""https://www.tiktok.com/@kalanikai42"",""text"":""https://www.tiktok.com/@kalanikai42""}",tiktok,否,kalanikai,"yozma, yozmasport，in10",US-Vivi-013,US,Vivi,2026-02-12,未出视频,已签合同盖章,IN 10 Pro,尾部红人(10k-100k),已签合同盖章,,,,0,,,,,65000,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.instagram.com/pierrexjacques/reels/"",""text"":""https://www.instagram.com/pierrexjacques/reels/""}",instagramreels,否,pierrexjacques,"yozma, yozmasport，in10",US-Ryan-006,US,Ryan,2026-03-10,已出视频,已签合同盖章,IN 10 Pro,尾部红人(10k-100k),已签合同盖章,,,,0,,,,,50000,营销总表,2026-06-22,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,,
否,"{""link"":""https://www.instagram.com/matt_mchugh257/"",""text"":""https://www.instagram.com/matt_mchugh257/""}",instagramreels,否,mchughm257,"yozma, yozmasport，in10",US-Stefan-120,US,Stefan,2026-01-04,未出视频,已签同意书盖章,IN 10,腰部红人(100k-1M),已签同意书盖章,,,,0,,,,,183800,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.instagram.com/rawstuntz/"",""text"":""https://www.instagram.com/rawstuntz/""}",instagramreels,否,Rawstuntz,"yozma, yozmasport，in10",US-Stefan-029,US,Stefan,2026-01-15,已出视频,已签同意书盖章,IN 10 Pro,腰部红人(100k-1M),已签同意书盖章,,,,0,,,,,165000,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@ulbyunxi?lang=zh-Hans"",""text"":""https://www.tiktok.com/@ulbyunxi?lang=zh-Hans""}",tiktok,是,ulbyunxi,"yozma, yozmasport，in10",CA-Lexy-001,CA,Lexy,2026-04-03,已出视频,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-04-02,免费,24,9,15,38%,TikTok 24条,已解析,33200,营销总表,2026-06-22,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.tiktok.com/@ulbyunxi/video/7646992771349335317"",""text"":""https://www.tiktok.com/@ulbyunxi/video/7646992771349335317""}","{""link"":""https://www.tiktok.com/@ulbyunxi/video/7646992216241507605"",""text"":""https://www.tiktok.com/@ulbyunxi/video/7646992216241507605""}","{""text"":""https://www.tiktok.com/@ulbyunxi/video/7648129859813756180"",""link"":""https://www.tiktok.com/@ulbyunxi/video/7648129859813756180""}",
否,"{""link"":""https://www.tiktok.com/@reallsteppa"",""text"":""https://www.tiktok.com/@reallsteppa""}",tiktok,否,reallryder,"yozma, yozmasport，in10",US-Stefan-101,US,Stefan,2025-12-30,已出视频,已签同意书盖章,IN 10 Pro,尾部红人(10k-100k),已签同意书盖章,,,,0,,,,,53300,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.instagram.com/jdi_tray/"",""text"":""https://www.instagram.com/jdi_tray/""}",instagramreels,否,JustDoItTray,"yozma, yozmasport，in10",US-Ryan-003,US,Ryan,2026-03-10,售后中,已签合同盖章,IN 10 Pro,尾部红人(10k-100k),已签合同盖章,,,,0,,,,,55700,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@ONEWAYGOOEY/shorts"",""text"":""https://www.youtube.com/@ONEWAYGOOEY/shorts""}",youtubeshort,是,onewaygooey_,"yozma, yozmasport，in10",US-Ryan-016,US,Ryan,2026-03-20,已发货,已签合同盖章,IN 10,尾部红人(10k-100k),已签合同盖章,,,,24,,,,,23000,营销总表,2026-06-22,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.youtube.com/shorts/bgJE-T2gBA4"",""text"":""https://www.youtube.com/shorts/bgJE-T2gBA4""}","{""text"":""https://www.youtube.com/shorts/r1cbzl_eHUA"",""link"":""https://www.youtube.com/shorts/r1cbzl_eHUA""}","{""text"":""https://www.youtube.com/shorts/CkRjkjF3E9Y"",""link"":""https://www.youtube.com/shorts/CkRjkjF3E9Y""}",
否,"{""link"":""https://www.tiktok.com/@mchughm257"",""text"":""https://www.tiktok.com/@mchughm257""}",tiktok,否,mchughm257,"yozma, yozmasport，in10",US-Stefan-120,US,Stefan,2026-01-04,未出视频,已签同意书盖章,IN 10,腰部红人(100k-1M),已签同意书盖章,,,,0,,,,,183800,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@highvoltfab/videos"",""text"":""https://www.youtube.com/@highvoltfab/videos""}",youtubevideo,否,highvoltfab,"yozma, yozmasport，in10",US-Stefan-112,US,Stefan,2026-01-16,已出视频,已签同意书盖章,IN 10,腰部红人(100k-1M),已签同意书盖章,,,,0,,,,,122000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.tiktok.com/@ozbikedad"",""text"":""https://www.tiktok.com/@ozbikedad""}",tiktok,否,[hidden],"yozma, yozmasport，in10",US-Nancy-014,US,Nancy,2025-11-01,已出视频,不签合同，以brief为准,IN 10,尾部红人(10k-100k),不签合同，以brief为准,,,,0,,,,,42200,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@tb12olemiss/shorts"",""text"":""https://www.youtube.com/@tb12olemiss/shorts""}",youtubeshort,否,tb12olemiss,"yozma, yozmasport，in10",US-Ryan-047,US,Ryan,2026-05-15,已发货,已签合同,IN 10 Pro,尾部红人(10k-100k),内容红人,2026-05-14,免费,,0,,,待人工确认,待人工确认,72600,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.instagram.com/derekhallman/"",""text"":""https://www.instagram.com/derekhallman/""}",instagramreels,否,Section59 Ldn,"yozma, yozmasport，in10",UK-Zoe-007,UK,Zoe,2026-05-15,已发货,已签合同,IN 10 Pro,腰部红人(100k-1M),内容红人 / 内容红人,2026-05-14,免费 / 免费,2,0,2,0%,YouTube Video 1条 / TikTok 1条,已解析,755000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,,
是,"{""link"":""https://www.tiktok.com/@360.mediaedits?lang=zh-Hans"",""text"":""https://www.tiktok.com/@360.mediaedits?lang=zh-Hans""}",tiktok,否,360.mediaedits,"yozma, yozmasport，in10",US-Lexy-073,US,Lexy,2026-05-10,已出视频,已签合同,,赛事/活动,已签合同,,,,0,,,,,113700,,,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@BrianaKing"",""text"":""https://www.youtube.com/@BrianaKing""}",youtubevideo,否,brianaking,"yozma, yozmasport，in10",US-Ryan-034,US,Ryan,2026-04-10,跟进视频,已签合同,IN 10 Pro,腰部红人(100k-1M),内容红人,2026-04-09,免费,2,0,2,0%,Instagram Reels 2条,已解析,130000,营销总表,2026-06-22,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,,
否,"{""link"":""https://www.tiktok.com/@909_celebrity"",""text"":""https://www.tiktok.com/@909_celebrity""}",tiktok,否,909celebrity,"yozma, yozmasport，in10",US-Stefan-119,US,Stefan,2026-01-30,已出视频,不签任何文件,IN 10,腰部红人(100k-1M),不签任何文件,,,,0,,,,,680000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.instagram.com/austinperryofficial/"",""text"":""https://www.instagram.com/austinperryofficial/""}",instagramreels,否,austinperryofficial,"yozma, yozmasport，in10",US-Stefan-144,US,Stefan,2026-02-10,已出视频,已签同意书盖章,IN 10+IN 10 Pro,腰部红人(100k-1M),已签同意书盖章,,,,0,,,,,496000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,,
否,"{""link"":""https://www.instagram.com/cheehoo.tv/"",""text"":""https://www.instagram.com/cheehoo.tv/""}",instagramreels,否,Cheehoo TV,"yozma, yozmasport，in10",US-Stefan-108,US,Stefan,2026-05-27,待发货,已签合同,IN10 Pro,,内容红人,2026-06-05,付费,7,0,7,0%,YouTube Shorts 3条 / Instagram Reels 1条 / TikTok 3条,已解析,341000,营销总表,2026-06-22,,,,,,,,3 个月
否,"{""link"":""https://www.youtube.com/@8oh5wy/featured"",""text"":""https://www.youtube.com/@8oh5wy/featured""}",youtube,否,8oh5wy,"yozma, yozmasport，in10",US-Vivi-009,US,Vivi,2025-11-01,已出视频,已签合同盖章，半年合作,IN 10,尾部红人(10k-100k),已签合同盖章，半年合作,,,,0,,,,,14500,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.youtube.com/@Andibaldi2/shorts"",""text"":""https://www.youtube.com/@Andibaldi2/shorts""}",youtubeshort,否,Andibaldi 2,"yozma, yozmasport，in10",EU-Zoe-030,EU,Zoe,2026-05-11,已发货,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-05-14,免费,,6,,,待人工确认,待人工确认,77100,营销总表,2026-06-22,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@OnewayJason"",""text"":""https://www.youtube.com/@OnewayJason""}",youtubevideo,否,_onewayjason,"yozma, yozmasport，in10",US-Vivi-003,US,Vivi,2026-05-27,,已签合同,IN 10 Pro,尾部红人(10k-100k),内容红人,2026-05-29,免费,12,4,8,33%,TikTok 12条,已解析,71000,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@thisisthanh/shorts"",""text"":""https://www.youtube.com/@thisisthanh/shorts""}",youtubeshort,否,thisis.thanh,"yozma, yozmasport，in10",EU-Zoe-029,EU,Zoe,2026-05-11,待发货,已签合同,IN 10,尾部红人(10k-100k),摄影师,2026-05-11,付费,,0,,,待人工确认,待人工确认,25200,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@ridstarlaw"",""text"":""https://www.youtube.com/@ridstarlaw""}",youtubevideo,否,ridstarlaw,"yozma, yozmasport，in10",US-Vivi-007,US,Vivi,2025-12-25,已出视频,不签合同，以brief为准,IN 10 Pro,尾部红人(10k-100k),不签合同，以brief为准,,,,45,,,,,39200,营销总表,2026-06-22,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@pane19_/videos"",""text"":""https://www.youtube.com/@pane19_/videos""}",youtubevideo,是,pane19,"yozma, yozmasport，in10",EU-Zoe-031,EU,Zoe,2026-05-12,已发货,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-05-14,免费,,1,,,待人工确认,待人工确认,59400,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=FJaj7TMXqCo"",""link"":""https://www.youtube.com/watch?v=FJaj7TMXqCo""}",,,
是,"{""link"":""https://www.tiktok.com/@danevaughn?lang=zh-Hans"",""text"":""https://www.tiktok.com/@danevaughn?lang=zh-Hans""}",tiktok,否,danevaughn,"yozma, yozmasport，in10",US-Ryan-029,US,Ryan,2026-04-10,跟进视频,已签合同,IN 10+IN 10 Pro,腰部红人(100k-1M),内容红人,2026-04-09,免费,2,0,2,0%,Instagram Reels 2条,已解析,139000,营销总表,2026-06-22,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,,
