是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,合作日期,合作进度,合作模式,合作车型,合作量级,合作服务,合同签署日期,合同类型,预计视频交付,已上线视频,待补视频交付,视频交付完成率,合同交付平台拆分,合同交付解析状态,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3,合作周期
是,"{""link"":""https://www.youtube.com/@OfficialChickenJoe/videos"",""text"":""https://www.youtube.com/@OfficialChickenJoe/videos""}",youtubevideo,否,officialchickenjoe,"yozma, yozmasport，in10",US-Ryan-013,US,Ryan,2026-03-18,已出视频,已签合同盖章,IN 10 Pro,尾部红人(10k-100k),已签合同盖章,,,,0,,,,,29000,营销总表,2026-06-22,P0 立刻追踪,175,正在出单；2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.instagram.com/gio_biker_900/"",""text"":""https://www.instagram.com/gio_biker_900/""}",instagramreels,是,Gio_biker_900,"yozma, yozmasport，in10",EU-Zoe-012,EU,Zoe,2026-04-07,已出视频,已签合同,IN 10,腰部红人(100k-1M),内容红人,2026-04-09,免费,6,4,2,67%,Instagram Reels 3条 / TikTok 3条,已解析,150000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""link"":""https://www.instagram.com/p/DY_jiG9IxYf/"",""text"":""https://www.instagram.com/p/DY_jiG9IxYf/""}","{""link"":""https://www.instagram.com/p/DY2aRimI7jc/"",""text"":""https://www.instagram.com/p/DY2aRimI7jc/""}","{""text"":""https://www.instagram.com/p/DYZl9mMI0Bh/"",""link"":""https://www.instagram.com/p/DYZl9mMI0Bh/""}",
是,"{""link"":""https://www.youtube.com/@mechanico_de/shorts"",""text"":""https://www.youtube.com/@mechanico_de/shorts""}",youtubeshort,否,MechaNico,"yozma, yozmasport，in10",EU-Zoe-021,EU,Zoe,2026-04-16,已出视频,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-04-27,免费,3,1,2,33%,Instagram Reels 2条 / YouTube Video 1条,已解析,13100,营销总表,2026-06-22,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.tiktok.com/@cruzinstuntzz"",""text"":""https://www.tiktok.com/@cruzinstuntzz""}",tiktok,否,cruzinstuntz,"yozma, yozmasport，in10",US-Stefan-074,US,Stefan,2026-03-23,已收货,,IN 10 Pro,微型红人/KOC(1k-10k),待补充,,,,0,,,,,8900,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
否,"{""link"":""https://www.instagram.com/surron_london/"",""text"":""https://www.instagram.com/surron_london/""}",instagram,是,surron_london,"yozma, yozmasport，in10",UK-Zoe-001,UK,Zoe,2026-04-03,已出视频,不签合同,IN 10+IN 10 Pro,尾部红人(10k-100k),不签合同,,,,1,,,,,46800,营销总表,2026-06-22,,,,,"{""link"":""https://www.instagram.com/p/DY47l5dMmdg/"",""text"":""https://www.instagram.com/p/DY47l5dMmdg/""}",,,
是,"{""link"":""https://www.tiktok.com/@bikingwtheo"",""text"":""https://www.tiktok.com/@bikingwtheo""}",tiktok,是,bikingwtheo,"yozma, yozmasport，in10",US-Stefan-044,US,Stefan,2026-04-03,已出视频,已签合同,IN 10 Pro,尾部红人(10k-100k),内容红人,2026-04-02,免费,8,6,2,75%,TikTok 8条,已解析,56800,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.tiktok.com/@bikingwtheo/video/7646909327088913678"",""text"":""https://www.tiktok.com/@bikingwtheo/video/7646909327088913678""}","{""link"":""https://www.tiktok.com/@bikingwtheo/video/7646097622532361502"",""text"":""https://www.tiktok.com/@bikingwtheo/video/7646097622532361502""}","{""text"":""https://www.tiktok.com/@bikingwtheo/video/7649900657129966878"",""link"":""https://www.tiktok.com/@bikingwtheo/video/7649900657129966878""}",
否,"{""link"":""https://www.instagram.com/sansp.ami33/"",""text"":""https://www.instagram.com/sansp.ami33/""}",instagram,是,Sansp.ami33,"yozma, yozmasport，in10",EU-Zoe-005,EU,Zoe,2026-03-27,已出视频,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-04-02,免费,6,1,5,17%,YouTube Shorts 3条 / TikTok 3条,已解析,65300,营销总表,2026-06-22,,,,,"{""link"":""https://www.instagram.com/p/DZGCYk2jc8H/"",""text"":""https://www.instagram.com/p/DZGCYk2jc8H/""}",,,
否,"{""link"":""https://www.youtube.com/@la_taliana/videos"",""text"":""https://www.youtube.com/@la_taliana/videos""}",youtube,否,la_taliana,"yozma, yozmasport，in10",US-Lexy-005,US,Lexy,2025-12-30,已出视频,已签合同盖章,IN 10,腰部红人(100k-1M),已签合同盖章,,,,0,,,,,744200,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.instagram.com/grillhunters/"",""text"":""https://www.instagram.com/grillhunters/""}",instagramreels,否,grillhunters,"yozma, yozmasport，in10",US-Stefan-167,US,Stefan,2026-04-03,跟进视频,已签合同,IN 10 Pro,头部红人(>1M),内容红人,2026-04-02,免费,2,0,2,0%,Instagram Reels 2条,已解析,1300000,营销总表,2026-06-22,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@HKTROTT/shorts"",""text"":""https://www.youtube.com/@HKTROTT/shorts""}",youtubeshort,否,HKTROTT,"yozma, yozmasport，in10",EU-Zoe-036,EU,Zoe,2026-05-13,已发货,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-05-21,免费,,1,,,待人工确认,待人工确认,31000,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
