是否监控,likesCount,videoUrl,平台,commentsCount,红人名称,id,videoPlayCount,videoViewCount,url,timestamp,7日成熟声量,30日成熟声量,displayUrl,是否计入合同交付,对应合同平台,合同交付类型
是,80,https://www.tiktok.com/@owen.monroe/video/7645432170642787597,tiktok,5,owen.monroe,7645432170642787597,1170,1170,"{""link"":""https://www.tiktok.com/@owen.monroe/video/7645432170642787597"",""text"":""https://www.tiktok.com/@owen.monroe/video/7645432170642787597""}",2026-05-29T21:42:07.000Z,754,1170,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/o4QyC1kcfAAGGtBECDgaP3IwIiIPQDKMdpiIBD~tplv-tiktokx-origin.image?dr=9636&x-expires=1783440000&x-signature=%2BSFSt1UZi5DO9VbzwWkaIpRN%2Bek%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,,,
是,984,https://scontent-hou1-1.cdninstagram.com/o1/v/t2/f2/m86/AQN9yvuPog5mvZaLWoUBEXWV5GjJ2_U2zXR80YFZC19D5UvTxmvEwtVsIjb7n-WXB-uE4L0RTaAbkNF_IIpbfjXbBI4kzPZI-PQt5TM.mp4?_nc_cat=108&_nc_sid=5e9851&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_ohc=iM9vazkleCUQ7kNvwFMplIq&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTAwODIyNTA5ODM5MzAyNiwiYXNzZXRfYWdlX2RheXMiOjMzLCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6MjYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=657c094459ccda52&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8zQzRCMDc2MzYwNThBRkIzM0JBRDE5NzkwQ0Q5OEZBMF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0QyNEZCMzNFODRBRDQ0MzZGM0QzMzI2REQ5OUY1QThCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaEl7-ttr7KAxUCKAJDMywXQDqIcrAgxJwYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=jOs0aX5p7j8s68FdpdB7PQ&_nc_ss=7b60f&_nc_zt=28&oh=00_,instagramreels,15,68v_ebikes,3910242460383389565,50159,28495,"{""link"":""https://www.instagram.com/p/DZD-MzkzSd9/"",""text"":""https://www.instagram.com/p/DZD-MzkzSd9/""}",2026-06-01T23:42:26.000Z,47042,50159,,,,
是,2100,https://www.youtube.com/shorts/4xErAs-S0eQ,youtubeshort,82,Tuttzsi,4xErAs-S0eQ,113679,113679,"{""link"":""https://www.youtube.com/shorts/4xErAs-S0eQ"",""text"":""https://www.youtube.com/shorts/4xErAs-S0eQ""}",2026-05-29T22:00:21.000Z,103604,113679,https://i.ytimg.com/vi/4xErAs-S0eQ/maxresdefault.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBlKGUwDw==&rs=AOn4CLCAhmAghTabd0LJltUboUBxfgSvLw,是,YouTube Shorts,待人工确认
是,0,https://www.tiktok.com/@voltagerider/video/7645357271987293462,tiktok,0,voltagerider,7645357271987293462,0,0,"{""link"":""https://www.tiktok.com/@voltagerider/video/7645357271987293462"",""text"":""https://www.tiktok.com/@voltagerider/video/7645357271987293462""}",2026-05-29T16:51:01.000Z,27200,0,https://p16-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/oEAZQIfQGm9jzKnoAIeHAeAAYLupAoWRjweGCz~tplv-tiktokx-dmt-logom:tos-no1a-i-0068-no/oQAF4jB9iASfGzZVARTqAChEmxpEIkAfgqcNZi.image?dr=9634&x-expires=1780999200&x-signature=lfrVS6805DLXo8MHcM9zvU7DTEU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,是,TikTok,YouTube Shorts 63条 / TikTok 20条
是,1200,https://www.youtube.com/shorts/059n9BhpCsA,youtubeshort,153,Rtr_Tedd,059n9BhpCsA,21343,21343,"{""link"":""https://www.youtube.com/shorts/059n9BhpCsA"",""text"":""https://www.youtube.com/shorts/059n9BhpCsA""}",2026-05-30T19:19:00.000Z,19609,21343,https://i.ytimg.com/vi/059n9BhpCsA/maxresdefault.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYVyBlKDwwDw==&rs=AOn4CLBy76i7zOrVH5sbsJEyeeIeM47GwQ,是,YouTube Shorts,待人工确认
是,218,https://www.youtube.com/shorts/A-PyVjukUxs,youtubeshort,3,TeamTalentless,A-PyVjukUxs,28697,28697,"{""link"":""https://www.youtube.com/shorts/A-PyVjukUxs"",""text"":""https://www.youtube.com/shorts/A-PyVjukUxs""}",2026-06-01T13:00:05.000Z,27783,28697,https://i.ytimg.com/vi/A-PyVjukUxs/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBYKEswDw==&rs=AOn4CLCwnKGSEvQJHh4Lb1DBlfdg-y5pKg,,,
是,2646,https://www.tiktok.com/@ridstarlaw/video/7645410653875883277,tiktok,82,ridstarlaw,7645410653875883277,74200,74200,"{""link"":""https://www.tiktok.com/@ridstarlaw/video/7645410653875883277"",""text"":""https://www.tiktok.com/@ridstarlaw/video/7645410653875883277""}",2026-05-29T20:18:39.000Z,42600,74200,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/oMWC3ciDFIBGI6JApzywf2ih1ZINIQABpyKP9A~tplv-tiktokx-origin.image?dr=9636&x-expires=1783440000&x-signature=XVes6D%2BZH8MEbEiazomwa5mXBF4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,
是,136,https://www.youtube.com/shorts/YlVv16ITP1w,youtubeshort,3,TeamTalentless,YlVv16ITP1w,22130,22130,"{""link"":""https://www.youtube.com/shorts/YlVv16ITP1w"",""text"":""https://www.youtube.com/shorts/YlVv16ITP1w""}",2026-06-02T10:00:16.000Z,20812,22130,https://i.ytimg.com/vi/YlVv16ITP1w/maxres2.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYWSBhKGUwDw==&rs=AOn4CLChZW8Em9PFDxWIs-65FjYMY60t2Q,,,
是,1300,https://www.youtube.com/shorts/KodTgqAvF_s,youtubeshort,99,Tuttzsi,KodTgqAvF_s,154716,154716,"{""link"":""https://www.youtube.com/shorts/KodTgqAvF_s"",""text"":""https://www.youtube.com/shorts/KodTgqAvF_s""}",2026-06-01T23:42:55.000Z,45164,154716,https://i.ytimg.com/vi/KodTgqAvF_s/maxresdefault.jpg?sqp=-oaymwEoCIAKENAF8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYZSBOKEswDw==&rs=AOn4CLC-VkiY_L2Y02CaGF-Dc5V9ErAiuw,是,YouTube Shorts,待人工确认
是,0,https://www.tiktok.com/@dxride/video/7646837995382885654,tiktok,0,dxride,7646837995382885654,0,0,"{""link"":""https://www.tiktok.com/@dxride/video/7646837995382885654"",""text"":""https://www.tiktok.com/@dxride/video/7646837995382885654""}",2026-06-02T16:37:02.000Z,,0,https://p16-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/oQqfjUz1P4mIIB50LAQMfxxelj7ADLIGF2IDEg~tplv-tiktokx-origin.image?dr=9636&x-expires=1780657200&x-signature=mHCYRvbIQWwRj%2FQQ%2BiWJNUTKulU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast5,,,
是,288,https://www.tiktok.com/@freego.judah/video/7644671614822501663,tiktok,15,freego.judah,7644671614822501663,6323,6323,"{""link"":""https://www.tiktok.com/@freego.judah/video/7644671614822501663"",""text"":""https://www.tiktok.com/@freego.judah/video/7644671614822501663""}",2026-05-27T20:30:31.000Z,5188,6323,https://p19-common-sign.tiktokcdn-us.com/tos-useast8-p-0068-tx2/ogVDKjkEEQZDQMFAqe5A3q1f2OhRBxEFuIE0js~tplv-tiktokx-origin.image?dr=9636&x-expires=1783440000&x-signature=SNO9UNX7h%2BLxA57BeiIqdPs%2FKHA%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,是,TikTok,TikTok 60条
