createdAt,finishedAt,task,status,message,days,maxItems,limitInfluencers,skipInfluencers,platformFilter,usageUsd,scraped,matched,videoCreated,videoSkipped,snapshotCreated
2026-07-20T02:51:36.196Z,2026-07-20T02:52:26.244Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.004,7,0,0,0,0
2026-07-20T02:50:02.126Z,2026-07-20T02:51:36.090Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.005,23,0,0,0,0
2026-07-20T02:47:42.244Z,2026-07-20T02:50:02.012Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.0533,27,0,0,0,0
2026-07-20T02:46:26.139Z,2026-07-20T02:47:42.130Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 3 条，错误 0 个。,7,20,5,0,instagramreels,0.0132,14,3,0,3,0
2026-07-20T02:44:35.655Z,2026-07-20T02:46:26.032Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.051,32,0,0,0,0
2026-07-20T02:43:21.358Z,2026-07-20T02:44:35.534Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.0086,7,0,0,0,0
2026-07-20T02:41:42.956Z,2026-07-20T02:43:21.230Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 1 条，错误 0 个。,7,20,5,0,instagramreels,0.005,22,1,0,1,0
2026-07-20T02:40:52.216Z,2026-07-20T02:41:42.852Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.003,5,0,0,0,0
2026-07-20T02:39:20.143Z,2026-07-20T02:40:52.100Z,本地新视频发现,success,处理 5 位，新增视频 3 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.012,10,3,3,0,3
2026-07-20T02:37:20.823Z,2026-07-20T02:39:20.019Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.016,12,0,0,0,0
2026-07-20T02:36:27.622Z,2026-07-20T02:37:20.712Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,9,0,0,0,0
2026-07-20T02:34:32.367Z,2026-07-20T02:36:27.510Z,本地新视频发现,success,处理 5 位，新增视频 2 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.028,12,2,2,0,2
2026-07-20T02:32:55.098Z,2026-07-20T02:34:32.261Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,5,0,0,0,0
2026-07-20T02:31:40.180Z,2026-07-20T02:32:54.967Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.008,9,0,0,0,0
2026-07-20T02:30:12.778Z,2026-07-20T02:31:40.063Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,12,0,0,0,0
