是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3
是,"{""link"":""https://www.youtube.com/@GrillHunters/videos"",""text"":""https://www.youtube.com/@GrillHunters/videos""}",youtubevideo,否,grillhunters,"yozma, yozmasport，in10",US-Stefan-167,US,Stefan,1490000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@wanderwithgeorge/videos"",""text"":""https://www.youtube.com/@wanderwithgeorge/videos""}",youtube,是,wanderwithgeorge,"yozma, yozmasport，in10",US-Stefan-001,US,Stefan,10000,营销总表,2026-06-07,,,,,"{""link"":""https://www.instagram.com/p/DY74vi_vkgC/"",""text"":""https://www.instagram.com/p/DY74vi_vkgC/""}","{""link"":""https://www.instagram.com/p/DZAai8ZpLk0/"",""text"":""https://www.instagram.com/p/DZAai8ZpLk0/""}",
否,"{""link"":""https://www.youtube.com/@Skidzy_09/shorts"",""text"":""https://www.youtube.com/@Skidzy_09/shorts""}",youtube,否,Skidzyy,"yozma, yozmasport，in10",US-Stefan-035,US,Stefan,9180,,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@ltouns006?lang=en"",""text"":""https://www.tiktok.com/@ltouns006?lang=en""}",tiktok,否,ltouns006,"yozma, yozmasport，in10",EU-Zoe-052,EU,Zoe,10500,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@Biker_motorsport/videos"",""text"":""https://www.youtube.com/@Biker_motorsport/videos""}",youtubevideo,否,biker_motorsport,"yozma, yozmasport，in10",EU-Zoe-042,EU,Zoe,111900,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/zw_squid_ink/reels/"",""text"":""https://www.instagram.com/zw_squid_ink/reels/""}",instagram,是,zw_squid_ink,"yozma, yozmasport，in10",US-Ryan-008,US,Ryan,76000,营销总表,2026-06-07,,,,,"{""link"":""https://www.instagram.com/p/DY3QkFFNIc7/"",""text"":""https://www.instagram.com/p/DY3QkFFNIc7/""}",,
是,"{""link"":""https://www.tiktok.com/@hktrott?lang=en"",""text"":""https://www.tiktok.com/@hktrott?lang=en""}",tiktok,否,HKTROTT,"yozma, yozmasport，in10",EU-Zoe-036,EU,Zoe,32000,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@bikestar.chris"",""text"":""https://www.tiktok.com/@bikestar.chris""}",tiktok,否,bikestar.chris,"yozma, yozmasport，in10",US-Stefan-045,US,Stefan,9895,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@Bikelifeseb/shorts"",""text"":""https://www.youtube.com/@Bikelifeseb/shorts""}",youtube,否,bikelifeseb,"yozma, yozmasport，in10",US-Vivi-006,US,Vivi,29000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Darzrt/shorts"",""text"":""https://www.youtube.com/@Darzrt/shorts""}",youtubeshort,是,darzrt,"yozma, yozmasport，in10",US-Stefan-060,US,Stefan,71200,,,,,,,"{""text"":""https://www.youtube.com/shorts/PmqNmB8uYmo"",""link"":""https://www.youtube.com/shorts/PmqNmB8uYmo""}","{""text"":""https://www.youtube.com/shorts/bvTZPap9pqU"",""link"":""https://www.youtube.com/shorts/bvTZPap9pqU""}",
否,"{""link"":""https://www.youtube.com/@ItsReidMiller/shorts"",""text"":""https://www.youtube.com/@ItsReidMiller/shorts""}",youtubeshort,否,itsreidmiller,"yozma, yozmasport，in10",US-Lexy-017,US,Lexy,462,,,,,,,,,
是,"{""link"":""https://www.youtube.com/@Reckless_Rides/shorts"",""text"":""https://www.youtube.com/@Reckless_Rides/shorts""}",youtubeshort,是,Reckless_Rides,"yozma, yozmasport，in10",US-Ryan-048,US,Ryan,114000,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.youtube.com/shorts/fQDS8JPwJAE"",""text"":""https://www.youtube.com/shorts/fQDS8JPwJAE""}","{""link"":""https://www.youtube.com/shorts/AV22m0DhPu8"",""text"":""https://www.youtube.com/shorts/AV22m0DhPu8""}","{""text"":""https://www.youtube.com/shorts/5EEvkdTGwxk"",""link"":""https://www.youtube.com/shorts/5EEvkdTGwxk""}"
否,"{""link"":""https://www.youtube.com/@jestonsendsit/shorts"",""text"":""https://www.youtube.com/@jestonsendsit/shorts""}",youtubeshort,否,jestonsendsit,"yozma, yozmasport，in10",US-Nancy-030,US,Nancy,94600,,,,,,,,,
否,"{""link"":""https://www.tiktok.com/@3mattq"",""text"":""https://www.tiktok.com/@3mattq""}",tiktok,否,3mattq,"yozma, yozmasport，in10",US-Stefan-043,US,Stefan,16800,,,,,,,,,
是,"{""link"":""https://www.youtube.com/@BaumOutdoors/shorts"",""text"":""https://www.youtube.com/@BaumOutdoors/shorts""}",youtubeshort,是,Baum Outdoors,"yozma, yozmasport，in10",US-Ryan-030,US,Ryan,274000,,,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""text"":""https://www.youtube.com/shorts/ZzEnIt1CnHc"",""link"":""https://www.youtube.com/shorts/ZzEnIt1CnHc""}",,
否,"{""link"":""https://www.tiktok.com/@zuemuz"",""text"":""https://www.tiktok.com/@zuemuz""}",tiktok,否,zuemuz,"yozma, yozmasport，in10",US-Nancy-011,US,Nancy,65700,,,,,,,,,
否,"{""link"":""https://www.instagram.com/oneway.jakee/"",""text"":""https://www.instagram.com/oneway.jakee/""}",instagramreels,否,oneway.jakee,"yozma, yozmasport，in10",US-Vivi-016,US,Vivi,22000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Revnsk8/featured"",""text"":""https://www.youtube.com/@Revnsk8/featured""}",youtubevideo,否,revnsk8,"yozma, yozmasport，in10",US-Lexy-008,US,Lexy,383700,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.instagram.com/zenith.frs"",""text"":""https://www.instagram.com/zenith.frs""}",instagramreels,否,Zenith FRS,"yozma, yozmasport，in10",US-Stefan-054,US,Stefan,490000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@scootediz?_r=1&_t=ZN-93mnawId0nG"",""text"":""https://www.tiktok.com/@scootediz?_r=1&_t=ZN-93mnawId0nG""}",tiktok,是,scootediz,"yozma, yozmasport，in10",EU-Zoe-002,EU,Zoe,28800,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@scootediz/video/7648595126062763286"",""link"":""https://www.tiktok.com/@scootediz/video/7648595126062763286""}","{""text"":""https://www.tiktok.com/@scootediz/video/7648590961873898774"",""link"":""https://www.tiktok.com/@scootediz/video/7648590961873898774""}",
是,"{""link"":""https://www.youtube.com/@ChrisTheSurfer/videos"",""text"":""https://www.youtube.com/@ChrisTheSurfer/videos""}",youtubevideo,否,ChrisTheSurfer,"yozma, yozmasport，in10",US-Stefan-158,US,Stefan,919000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@ONEWAYGOOEY/videos"",""text"":""https://www.youtube.com/@ONEWAYGOOEY/videos""}",youtubevideo,是,onewaygooey_,"yozma, yozmasport，in10",US-Ryan-016,US,Ryan,2290,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=OGz0VAicutQ"",""link"":""https://www.youtube.com/watch?v=OGz0VAicutQ""}","{""text"":""https://www.youtube.com/watch?v=gUjGD9ix_3Y"",""link"":""https://www.youtube.com/watch?v=gUjGD9ix_3Y""}",
是,"{""link"":""https://www.youtube.com/@BensOutdoorBoys/videos"",""text"":""https://www.youtube.com/@BensOutdoorBoys/videos""}",youtubevideo,是,Ben’s Outdoor Boys,"yozma, yozmasport，in10",US-Stefan-059,US,Stefan,91100,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.youtube.com/watch?v=7wmQrDsnmaw"",""text"":""https://www.youtube.com/watch?v=7wmQrDsnmaw""}","{""link"":""https://www.youtube.com/watch?v=OYhs1YExMBk"",""text"":""https://www.youtube.com/watch?v=OYhs1YExMBk""}","{""text"":""https://www.youtube.com/watch?v=1z-GsoUzJyY"",""link"":""https://www.youtube.com/watch?v=1z-GsoUzJyY""}"
是,"{""link"":""https://www.tiktok.com/@proktorr_off?lang=zh-Hans"",""text"":""https://www.tiktok.com/@proktorr_off?lang=zh-Hans""}",tiktok,否,ProKtorr,"yozma, yozmasport，in10",EU-Ryan-003,EU,Ryan,933000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/surron.ryan/"",""text"":""https://www.instagram.com/surron.ryan/""}",instagramreels,否,surron.ryan,"yozma, yozmasport，in10",US-Lexy-061,US,Lexy,8900,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@endurogermany?lang=en"",""text"":""https://www.tiktok.com/@endurogermany?lang=en""}",tiktok,否,ENDUROGERMANY,"yozma, yozmasport，in10",EU-Zoe-045,EU,Zoe,965,,,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@dariozockt?lang=en"",""text"":""https://www.tiktok.com/@dariozockt?lang=en""}",tiktok,否,DarioZockt,"yozma, yozmasport，in10",EU-Zoe-004,EU,Zoe,24400,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/starlineworld.co/"",""text"":""https://www.instagram.com/starlineworld.co/""}",instagramreels,是,starlineworld.co,"yozma, yozmasport，in10",US-Stefan-079,US,Stefan,36600,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.instagram.com/p/DZBQc2MyQCf/"",""text"":""https://www.instagram.com/p/DZBQc2MyQCf/""}","{""text"":""https://www.instagram.com/p/DZJWbAnxcb_/"",""link"":""https://www.instagram.com/p/DZJWbAnxcb_/""}",
是,"{""link"":""https://www.youtube.com/@Difokaloke/shorts"",""text"":""https://www.youtube.com/@Difokaloke/shorts""}",youtubeshort,否,Difokaloke,"yozma, yozmasport，in10",US-Lexy-079,US,Lexy,82,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/nammerz.rr/"",""text"":""https://www.instagram.com/nammerz.rr/""}",instagram,否,nammerz.rr,"yozma, yozmasport，in10",US-Lexy-006,US,Lexy,784400,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@starlineworld.co?lang=zh-Hans"",""text"":""https://www.tiktok.com/@starlineworld.co?lang=zh-Hans""}",tiktok,否,starlineworld.co,"yozma, yozmasport，in10",US-Stefan-079,US,Stefan,199900,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/ridstarq20/"",""text"":""https://www.instagram.com/ridstarq20/""}",instagram,否,Ridstar Gunna,"yozma, yozmasport，in10",US-Stefan-050,US,Stefan,9000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@XTOMCICOS/shorts"",""text"":""https://www.youtube.com/@XTOMCICOS/shorts""}",youtubeshort,是,XTOM CICOS - Tech,"yozma, yozmasport，in10",EU-Zoe-010,EU,Zoe,151000,,,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""text"":""https://www.youtube.com/shorts/ohn1jkfpSvA"",""link"":""https://www.youtube.com/shorts/ohn1jkfpSvA""}","{""text"":""https://www.youtube.com/shorts/7oVSaIsHosw"",""link"":""https://www.youtube.com/shorts/7oVSaIsHosw""}",
是,"{""link"":""https://www.tiktok.com/@elliotmsx"",""text"":""https://www.tiktok.com/@elliotmsx""}",tiktok,否,elliot.msx,"yozma, yozmasport，in10",UK-Ryan-005,UK,Ryan,,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/darrius.andersonn/"",""text"":""https://www.instagram.com/darrius.andersonn/""}",instagram,否,darriusandersonn,"yozma, yozmasport，in10",US-Stefan-077,US,Stefan,372800,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Levi_farias"",""text"":""https://www.youtube.com/@Levi_farias""}",youtubevideo,否,levi_farias,"yozma, yozmasport，in10",US-Stefan-146,US,Stefan,2910,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@Jack_blatch/shorts"",""text"":""https://www.youtube.com/@Jack_blatch/shorts""}",youtube,否,jack_blatch,"yozma, yozmasport，in10",US-Stefan-106,US,Stefan,10000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@dmvtalalala"",""text"":""https://www.tiktok.com/@dmvtalalala""}",tiktok,是,dmvtalalala,"yozma, yozmasport，in10",US-Nancy-002,US,Nancy,12200,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@dmvtalalala/video/7649925455008501022"",""link"":""https://www.tiktok.com/@dmvtalalala/video/7649925455008501022""}",,
否,"{""link"":""https://www.instagram.com/r6kiddd"",""text"":""https://www.instagram.com/r6kiddd""}",instagramreels,否,r6kiddd,"yozma, yozmasport，in10",US-Stefan-122,US,Stefan,196000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@Scootediz/shorts"",""text"":""https://www.youtube.com/@Scootediz/shorts""}",youtubeshort,是,scootediz,"yozma, yozmasport，in10",EU-Zoe-002,EU,Zoe,1460,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/vA32I4Pme8U"",""link"":""https://www.youtube.com/shorts/vA32I4Pme8U""}",,
否,"{""link"":""https://www.youtube.com/@Ubzya/shorts"",""text"":""https://www.youtube.com/@Ubzya/shorts""}",youtube,否,Ub.Zya,"yozma, yozmasport，in10",US-Stefan-066,US,Stefan,6200,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@That60v"",""text"":""https://www.youtube.com/@That60v""}",youtubevideo,否,axdesignz,"yozma, yozmasport，in10",US-Lexy-048,US,Lexy,6400,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@OfficialChickenJoe/videos"",""text"":""https://www.youtube.com/@OfficialChickenJoe/videos""}",youtubevideo,否,officialchickenjoe,"yozma, yozmasport，in10",US-Ryan-013,US,Ryan,4560,,,P0 立刻追踪,175,正在出单；2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/gio_biker_900/"",""text"":""https://www.instagram.com/gio_biker_900/""}",instagramreels,是,Gio_biker_900,"yozma, yozmasport，in10",EU-Zoe-012,EU,Zoe,150000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""link"":""https://www.instagram.com/p/DY_jiG9IxYf/"",""text"":""https://www.instagram.com/p/DY_jiG9IxYf/""}","{""link"":""https://www.instagram.com/p/DY2aRimI7jc/"",""text"":""https://www.instagram.com/p/DY2aRimI7jc/""}","{""text"":""https://www.instagram.com/p/DYZl9mMI0Bh/"",""link"":""https://www.instagram.com/p/DYZl9mMI0Bh/""}"
是,"{""link"":""https://www.youtube.com/@mechanico_de/shorts"",""text"":""https://www.youtube.com/@mechanico_de/shorts""}",youtubeshort,否,MechaNico,"yozma, yozmasport，in10",EU-Zoe-021,EU,Zoe,13100,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@cruzinstuntzz"",""text"":""https://www.tiktok.com/@cruzinstuntzz""}",tiktok,否,cruzinstuntz,"yozma, yozmasport，in10",US-Stefan-074,US,Stefan,3662,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/surron_london/"",""text"":""https://www.instagram.com/surron_london/""}",instagram,是,surron_london,"yozma, yozmasport，in10",UK-Zoe-001,UK,Zoe,46800,营销总表,2026-06-07,,,,,"{""link"":""https://www.instagram.com/p/DY47l5dMmdg/"",""text"":""https://www.instagram.com/p/DY47l5dMmdg/""}",,
是,"{""link"":""https://www.tiktok.com/@bikingwtheo"",""text"":""https://www.tiktok.com/@bikingwtheo""}",tiktok,是,bikingwtheo,"yozma, yozmasport，in10",US-Stefan-044,US,Stefan,53900,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.tiktok.com/@bikingwtheo/video/7646909327088913678"",""text"":""https://www.tiktok.com/@bikingwtheo/video/7646909327088913678""}","{""link"":""https://www.tiktok.com/@bikingwtheo/video/7646097622532361502"",""text"":""https://www.tiktok.com/@bikingwtheo/video/7646097622532361502""}",
否,"{""link"":""https://www.instagram.com/sansp.ami33/"",""text"":""https://www.instagram.com/sansp.ami33/""}",instagram,是,Sansp.ami33,"yozma, yozmasport，in10",EU-Zoe-005,EU,Zoe,65300,营销总表,2026-06-07,,,,,"{""link"":""https://www.instagram.com/p/DZGCYk2jc8H/"",""text"":""https://www.instagram.com/p/DZGCYk2jc8H/""}",,
否,"{""link"":""https://www.youtube.com/@la_taliana/videos"",""text"":""https://www.youtube.com/@la_taliana/videos""}",youtube,否,la_taliana,"yozma, yozmasport，in10",US-Lexy-005,US,Lexy,744200,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.instagram.com/grillhunters/"",""text"":""https://www.instagram.com/grillhunters/""}",instagramreels,否,grillhunters,"yozma, yozmasport，in10",US-Stefan-167,US,Stefan,1300000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@GotMyOwnHashTags/shorts"",""text"":""https://www.youtube.com/@GotMyOwnHashTags/shorts""}",youtubeshort,否,gotmyownhashtags,"yozma, yozmasport，in10",US带货-Lexy-0032,US,Lexy,,,,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@HKTROTT/shorts"",""text"":""https://www.youtube.com/@HKTROTT/shorts""}",youtubeshort,否,HKTROTT,"yozma, yozmasport，in10",EU-Zoe-036,EU,Zoe,10800,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@renegadeb1ker?lang=zh-Hans"",""text"":""https://www.tiktok.com/@renegadeb1ker?lang=zh-Hans""}",tiktok,否,renegadeb1ker,"yozma, yozmasport，in10",US-Lexy-026,US,Lexy,220400,,,,,,,,,
否,"{""link"":""https://www.youtube.com/@curlybloxks/shorts"",""text"":""https://www.youtube.com/@curlybloxks/shorts""}",youtube,否,curlybloxks,"yozma, yozmasport，in10",US-Stefan-069,US,Stefan,234000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.instagram.com/jar7d_/"",""text"":""https://www.instagram.com/jar7d_/""}",instagramreels,否,jar7d_,"yozma, yozmasport，in10",US-Stefan-109,US,Stefan,168000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@bikelifejelly6620/shorts"",""text"":""https://www.youtube.com/@bikelifejelly6620/shorts""}",youtubeshort,否,bikelifejelly,"yozma, yozmasport，in10",US-Stefan-053,US,Stefan,16700,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@StarlineWorld"",""text"":""https://www.youtube.com/@StarlineWorld""}",youtubevideo,否,starlineworld.co,"yozma, yozmasport，in10",US-Stefan-079,US,Stefan,25700,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@akarozzy/videos"",""text"":""https://www.youtube.com/@akarozzy/videos""}",youtube,否,Rozzy,"yozma, yozmasport，in10",US-Stefan-003,US,Stefan,50600,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@jeffjdemhvac/shorts"",""text"":""https://www.youtube.com/@jeffjdemhvac/shorts""}",youtube,否,jeffjdemhvac,"yozma, yozmasport，in10",US-Stefan-068,US,Stefan,216000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@T-Modz/shorts"",""text"":""https://www.youtube.com/@T-Modz/shorts""}",youtubeshort,是,T-Modz,"yozma, yozmasport，in10",US-Stefan-051,US,Stefan,18000,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/NOI4Wa5YB2s"",""link"":""https://www.youtube.com/shorts/NOI4Wa5YB2s""}","{""text"":""https://www.youtube.com/shorts/-AgmkafbkCw"",""link"":""https://www.youtube.com/shorts/-AgmkafbkCw""}",
否,"{""link"":""https://www.instagram.com/909celebrity/"",""text"":""https://www.instagram.com/909celebrity/""}",instagramreels,否,909celebrity,"yozma, yozmasport，in10",US-Stefan-119,US,Stefan,680000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@eastcoastemoto"",""text"":""https://www.tiktok.com/@eastcoastemoto""}",tiktok,是,EastCoastEmoto,"yozma, yozmasport，in10",US-Ryan-001,US,Ryan,16600,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@eastcoastemoto/video/7647592302403276062"",""link"":""https://www.tiktok.com/@eastcoastemoto/video/7647592302403276062""}",,
否,"{""link"":""https://www.youtube.com/@Leecampaign"",""text"":""https://www.youtube.com/@Leecampaign""}",youtubevideo,否,leecampaign,"yozma, yozmasport，in10",US-Lexy-031,US,Lexy,,,,P0 立刻追踪,155,正在出单；2026普通达人需继续追上线,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@ZaySolis119/videos"",""text"":""https://www.youtube.com/@ZaySolis119/videos""}",youtubevideo,否,Zay Solis,"yozma, yozmasport，in10",US-Stefan-121,US,Stefan,617000,,,,,,,,,
是,"{""link"":""https://www.youtube.com/@68v_ebikes"",""text"":""https://www.youtube.com/@68v_ebikes""}",youtubevideo,否,68v_ebikes,"yozma, yozmasport，in10",US-Stefan-030,US,Stefan,32000,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@cora.bklf"",""text"":""https://www.tiktok.com/@cora.bklf""}",tiktok,是,cora.bklf,"yozma, yozmasport，in10",EU-Ryan-002,EU,Ryan,7557,,,,,,,"{""link"":""https://www.tiktok.com/@cora.bklf/video/7647081659149438240"",""text"":""https://www.tiktok.com/@cora.bklf/video/7647081659149438240""}",,
否,"{""link"":""https://www.tiktok.com/@x3royce"",""text"":""https://www.tiktok.com/@x3royce""}",tiktok,否,x3.royce,"yozma, yozmasport，in10",US-Stefan-076,US,Stefan,23600,,,,,,,,,
否,"{""link"":""https://www.youtube.com/@anders_surron/shorts"",""text"":""https://www.youtube.com/@anders_surron/shorts""}",youtube,否,anders_surron,"yozma, yozmasport，in10",US-Stefan-104,US,Stefan,24000,,,,,,,,,
是,"{""link"":""https://www.youtube.com/@kcsnipess/videos"",""text"":""https://www.youtube.com/@kcsnipess/videos""}",youtubevideo,否,Kyle Cregg,"yozma, yozmasport，in10",US-Stefan-096,US,Stefan,17600,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/makethehoodsmile/"",""text"":""https://www.instagram.com/makethehoodsmile/""}",instagramreels,否,makethehoodsmile,"yozma, yozmasport，in10",US-Stefan-041,US,Stefan,720000,营销总表,2026-06-07,P3 暂缓,35,当前本地未登记视频,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@TooTurntTony/shorts"",""text"":""https://www.youtube.com/@TooTurntTony/shorts""}",youtubeshort,否,tooturnttony,"yozma, yozmasport，in10",US-Lexy-070,US,Lexy,7260000,,,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@Bbybippinnn"",""text"":""https://www.youtube.com/@Bbybippinnn""}",youtubevideo,否,bbybippinn,"yozma, yozmasport，in10",US-Vivi-010,US,Vivi,23000,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@joyonwheels"",""text"":""https://www.tiktok.com/@joyonwheels""}",tiktok,否,JoyOnWheels,"yozma, yozmasport，in10",EU-Zoe-017,EU,Zoe,153400,,,P0 立刻追踪,150,正在出单；2026已上线但仍出单,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@CalebEckenrode/videos"",""text"":""https://www.youtube.com/@CalebEckenrode/videos""}",youtube,否,Caleb Eckenrode,"yozma, yozmasport，in10",US-Stefan-040,US,Stefan,259000,,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@zeeksteryt"",""text"":""https://www.tiktok.com/@zeeksteryt""}",tiktok,否,zeekster,"yozma, yozmasport，in10",US-Stefan-047,US,Stefan,19200,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@jakorut"",""text"":""https://www.tiktok.com/@jakorut""}",tiktok,否,jakerutk,"yozma, yozmasport，in10",US-Lexy-064,US,Lexy,4726,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/baftek_bb/"",""text"":""https://www.instagram.com/baftek_bb/""}",instagramreels,否,Baftek,"yozma, yozmasport，in10",EU-Zoe-018,EU,Zoe,121000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@stxzle?lang=zh-Hans"",""text"":""https://www.tiktok.com/@stxzle?lang=zh-Hans""}",tiktok,否,stxzle,"yozma, yozmasport，in10",US-Lexy-023,US,Lexy,30100,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.instagram.com/fnsmallenginerepair/"",""text"":""https://www.instagram.com/fnsmallenginerepair/""}",instagram,否,fnsmallenginerepair,"yozma, yozmasport，in10",US-Stefan-095,US,Stefan,147000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@meftg4/shorts"",""text"":""https://www.youtube.com/@meftg4/shorts""}",youtubeshort,否,meft,"yozma, yozmasport，in10",EU-Zoe-032,EU,Zoe,13000,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
