是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3
是,"{""link"":""https://www.instagram.com/starlineworld.co/"",""text"":""https://www.instagram.com/starlineworld.co/""}",instagramreels,是,starlineworld.co,"yozma, yozmasport，in10",US-Stefan-079,US,Stefan,36600,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.instagram.com/p/DZBQc2MyQCf/"",""text"":""https://www.instagram.com/p/DZBQc2MyQCf/""}","{""text"":""https://www.instagram.com/p/DZJWbAnxcb_/"",""link"":""https://www.instagram.com/p/DZJWbAnxcb_/""}",
否,"{""link"":""https://www.instagram.com/adventure.boys217/"",""text"":""https://www.instagram.com/adventure.boys217/""}",instagram,否,adventure.boys217,"yozma, yozmasport，in10",US-Stefan-094,US,Stefan,428000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@jahjah_4x/shorts"",""text"":""https://www.youtube.com/@jahjah_4x/shorts""}",youtubeshort,否,jahjah_4x,"yozma, yozmasport，in10",US-Stefan-063,US,Stefan,4800,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/bluestaffyboulder/reels/#"",""text"":""https://www.instagram.com/bluestaffyboulder/reels/#""}",instagramreels,否,bluestaffyboulder,"yozma, yozmasport，in10",UK-Lexy-001,UK,Lexy,238000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@337speed/shorts"",""text"":""https://www.youtube.com/@337speed/shorts""}",youtubeshort,否,337speed,"yozma, yozmasport，in10",US-Lexy-067,US,Lexy,387000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@s.srides"",""text"":""https://www.tiktok.com/@s.srides""}",tiktok,否,s.srides,"yozma, yozmasport，in10",US-Stefan-113,US,Stefan,118600,,,,,,,,,
否,"{""link"":""https://www.youtube.com/@BikesandBeards/videos"",""text"":""https://www.youtube.com/@BikesandBeards/videos""}",youtube,否,Bikes and Beards,"yozma, yozmasport，in10",US-Stefan-007,US,Stefan,2780000,,,,,,,,,
否,"{""link"":""https://www.tiktok.com/@ultra_mas0n"",""text"":""https://www.tiktok.com/@ultra_mas0n""}",tiktok,否,ultra.mason0n,"yozma, yozmasport，in10",,,,,,,,,,,,,
否,"{""link"":""https://www.tiktok.com/@shreddiemcskate"",""text"":""https://www.tiktok.com/@shreddiemcskate""}",tiktok,否,SHREDDIE MCSKATE,"yozma, yozmasport，in10",US-Stefan-082,US,Stefan,48000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@Etronnix/shorts"",""text"":""https://www.youtube.com/@Etronnix/shorts""}",youtubeshort,是,etronnix,"yozma, yozmasport，in10",US-Lexy-012,US,Lexy,26500,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/yj45VZexrLg"",""link"":""https://www.youtube.com/shorts/yj45VZexrLg""}","{""text"":""https://www.youtube.com/shorts/HiF1DOEU46k"",""link"":""https://www.youtube.com/shorts/HiF1DOEU46k""}","{""text"":""https://www.youtube.com/shorts/g4d85y1jqiM"",""link"":""https://www.youtube.com/shorts/g4d85y1jqiM""}"
否,"{""link"":""https://www.youtube.com/@OnewayLilman/videos"",""text"":""https://www.youtube.com/@OnewayLilman/videos""}",youtubevideo,否,oneway_lilman,"yozma, yozmasport，in10",US-Stefan-002,US,Stefan,1900000,,,,,,,,,
是,"{""link"":""https://www.instagram.com/andibaldi2/"",""text"":""https://www.instagram.com/andibaldi2/""}",instagramreels,是,Andibaldi 2,"yozma, yozmasport，in10",EU-Zoe-030,EU,Zoe,77100,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DZKI_xBIsVy/"",""link"":""https://www.instagram.com/p/DZKI_xBIsVy/""}","{""text"":""https://www.instagram.com/p/DZKJusjohXi/"",""link"":""https://www.instagram.com/p/DZKJusjohXi/""}","{""text"":""https://www.instagram.com/p/DZKuWmjIVAD/"",""link"":""https://www.instagram.com/p/DZKuWmjIVAD/""}"
是,"{""link"":""https://www.youtube.com/@stingyrogerr/videos"",""text"":""https://www.youtube.com/@stingyrogerr/videos""}",youtubevideo,是,stingyrogerr,"yozma, yozmasport，in10",UK-Ryan-001,UK,Ryan,12200,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=AKwv_PqckCs"",""link"":""https://www.youtube.com/watch?v=AKwv_PqckCs""}",,
是,"{""link"":""https://www.tiktok.com/@dxride"",""text"":""https://www.tiktok.com/@dxride""}",tiktok,是,dxride,"yozma, yozmasport，in10",EU-Zoe-001,EU,Zoe,18400,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.tiktok.com/@dxride/video/7646837995382885654"",""text"":""https://www.tiktok.com/@dxride/video/7646837995382885654""}","{""link"":""https://www.tiktok.com/@dxride/video/7644648029735177494"",""text"":""https://www.tiktok.com/@dxride/video/7644648029735177494""}","{""text"":""https://www.tiktok.com/@dxride/video/7649125383333350658"",""link"":""https://www.tiktok.com/@dxride/video/7649125383333350658""}"
否,"{""link"":""https://www.youtube.com/@Onewaylon215"",""text"":""https://www.youtube.com/@Onewaylon215""}",youtube,否,oneway_lon,"yozma, yozmasport，in10",US-Vivi-011,US,Vivi,6500,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@x3tyler"",""text"":""https://www.youtube.com/@x3tyler""}",youtubevideo,否,x3tyler28,"yozma, yozmasport，in10",US-Lexy-033,US,Lexy,11400,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/pierrexjacques/reels/"",""text"":""https://www.instagram.com/pierrexjacques/reels/""}",instagram,否,pierrexjacques,"yozma, yozmasport，in10",US-Ryan-006,US,Ryan,50000,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/search?q=RunPlayBack&t=1780468786789"",""text"":""https://www.tiktok.com/search?q=RunPlayBack&t=1780468786789""}",tiktok,否,RunPlayBack,"yozma, yozmasport，in10",US-Stefan-004,US,Stefan,57700,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@Dankwheelie/videos"",""text"":""https://www.youtube.com/@Dankwheelie/videos""}",youtubevideo,否,dankwheelie,"yozma, yozmasport，in10",US-Ryan-025,US,Ryan,827000,,,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/tgracing_org/"",""text"":""https://www.instagram.com/tgracing_org/""}",instagramreels,是,Tgracing.org / tx3tyler1,"yozma, yozmasport，in10",US-Lexy-058,US,Lexy,11700,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DZYy7oXKrx4/"",""link"":""https://www.instagram.com/p/DZYy7oXKrx4/""}",,
否,"{""link"":""https://www.youtube.com/@x3.dawson"",""text"":""https://www.youtube.com/@x3.dawson""}",youtube,否,x3.royce,"yozma, yozmasport，in10",US-Stefan-076,US,Stefan,13800,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@husky.victor"",""text"":""https://www.tiktok.com/@husky.victor""}",tiktok,否,husky.victor,"yozma, yozmasport，in10",US-Vivi-020,US,Vivi,15600,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.instagram.com/jonahperry2030/"",""text"":""https://www.instagram.com/jonahperry2030/""}",instagramreels,否,Jonah Perry,"yozma, yozmasport，in10",US-Stefan-155,US,Stefan,180000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/_justinladner_/"",""text"":""https://www.instagram.com/_justinladner_/""}",instagramreels,否,_justinladner_,"yozma, yozmasport，in10",US-Lexy-071,US,Lexy,105000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/oneway.benn_/"",""text"":""https://www.instagram.com/oneway.benn_/""}",instagram,否,onewaybenn,"yozma, yozmasport，in10",US-Vivi-004,US,Vivi,149000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@GermyBallswell"",""text"":""https://www.youtube.com/@GermyBallswell""}",youtubevideo,否,germy_ballswell,"yozma, yozmasport，in10",US-Stefan-141,US,Stefan,277000,,,P0 立刻追踪,150,正在出单；2026已上线但仍出单,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@TuttioGNG/videos"",""text"":""https://www.youtube.com/@TuttioGNG/videos""}",youtubevideo,否,TuttioGNG,"yozma, yozmasport，in10",US-Stefan-057,US,Stefan,22700,,,,,,,,,
否,"{""link"":""https://www.youtube.com/@keepingupwiththelewises/shorts"",""text"":""https://www.youtube.com/@keepingupwiththelewises/shorts""}",youtube,否,keepingupwiththelewises,"yozma, yozmasport，in10",US-Stefan-052,US,Stefan,200000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@Etronnix"",""text"":""https://www.youtube.com/@Etronnix""}",youtubevideo,是,etronnix,"yozma, yozmasport，in10",US-Lexy-012,US,Lexy,26500,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=8BJiXQdF8A0"",""link"":""https://www.youtube.com/watch?v=8BJiXQdF8A0""}",,
否,"{""link"":""https://www.tiktok.com/@wavymichelle21"",""text"":""https://www.tiktok.com/@wavymichelle21""}",tiktok,否,wavyymichelle,"yozma, yozmasport，in10",US-Stefan-048,US,Stefan,180000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@17.robbyL"",""text"":""https://www.youtube.com/@17.robbyL""}",youtubevideo,否,17.robby_,"yozma, yozmasport，in10",US-Stefan-157,US,Stefan,14100,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@onewaylilman5"",""text"":""https://www.tiktok.com/@onewaylilman5""}",tiktok,否,oneway lilman,"yozma, yozmasport，in10",US-Stefan-090,US,Stefan,40100,,,,,,,,,
是,"{""link"":""https://www.youtube.com/@star_moto/shorts"",""text"":""https://www.youtube.com/@star_moto/shorts""}",youtubeshort,是,Starmoto,"yozma, yozmasport，in10",CA-Ryan-003,CA,Ryan,2300,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/Kusjyb1CUNQ"",""link"":""https://www.youtube.com/shorts/Kusjyb1CUNQ""}","{""text"":""https://www.youtube.com/shorts/ZbGjkzJ9n-c"",""link"":""https://www.youtube.com/shorts/ZbGjkzJ9n-c""}","{""text"":""https://www.youtube.com/shorts/UZSuUriDVKA"",""link"":""https://www.youtube.com/shorts/UZSuUriDVKA""}"
